provincia_nombre,provincia_id,grupo_etario_madre,anio,cantidad
Buenos Aires,6,10-14,2012,974
Buenos Aires,6,10-14,2013,992
Buenos Aires,6,10-14,2014,968
Buenos Aires,6,10-14,2015,848
Buenos Aires,6,10-14,2016,689
Buenos Aires,6,10-14,2017,666
Buenos Aires,6,10-14,2018,626
Buenos Aires,6,10-14,2019,488
Buenos Aires,6,10-14,2020,415
Buenos Aires,6,10-14,2021,314
Buenos Aires,6,10-14,2022,257
Buenos Aires,6,10-14,2023,254
Buenos Aires,6,10-14,2024,201
Buenos Aires,6,15-19,2012,42301
Buenos Aires,6,15-19,2013,42371
Buenos Aires,6,15-19,2014,42435
Buenos Aires,6,15-19,2015,38930
Buenos Aires,6,15-19,2016,34291
Buenos Aires,6,15-19,2017,31171
Buenos Aires,6,15-19,2018,28568
Buenos Aires,6,15-19,2019,23545
Buenos Aires,6,15-19,2020,19283
Buenos Aires,6,15-19,2021,15302
Buenos Aires,6,15-19,2022,14110
Buenos Aires,6,15-19,2023,13056
Buenos Aires,6,15-19,2024,11716
Buenos Aires,6,20-24,2012,68287
Buenos Aires,6,20-24,2013,69762
Buenos Aires,6,20-24,2014,72291
Buenos Aires,6,20-24,2015,70199
Buenos Aires,6,20-24,2016,66322
Buenos Aires,6,20-24,2017,63326
Buenos Aires,6,20-24,2018,60554
Buenos Aires,6,20-24,2019,53121
Buenos Aires,6,20-24,2020,46403
Buenos Aires,6,20-24,2021,39329
Buenos Aires,6,20-24,2022,36534
Buenos Aires,6,20-24,2023,34588
Buenos Aires,6,20-24,2024,32193
Buenos Aires,6,25-29,2012,60732
Buenos Aires,6,25-29,2013,63284
Buenos Aires,6,25-29,2014,66422
Buenos Aires,6,25-29,2015,65717
Buenos Aires,6,25-29,2016,64354
Buenos Aires,6,25-29,2017,63536
Buenos Aires,6,25-29,2018,61983
Buenos Aires,6,25-29,2019,56438
Buenos Aires,6,25-29,2020,50758
Buenos Aires,6,25-29,2021,46026
Buenos Aires,6,25-29,2022,42524
Buenos Aires,6,25-29,2023,38885
Buenos Aires,6,25-29,2024,36273
Buenos Aires,6,30-34,2012,57607
Buenos Aires,6,30-34,2013,58185
Buenos Aires,6,30-34,2014,58699
Buenos Aires,6,30-34,2015,56756
Buenos Aires,6,30-34,2016,55005
Buenos Aires,6,30-34,2017,54000
Buenos Aires,6,30-34,2018,53047
Buenos Aires,6,30-34,2019,49410
Buenos Aires,6,30-34,2020,46077
Buenos Aires,6,30-34,2021,43882
Buenos Aires,6,30-34,2022,40495
Buenos Aires,6,30-34,2023,36400
Buenos Aires,6,30-34,2024,33130
Buenos Aires,6,35-39,2012,32141
Buenos Aires,6,35-39,2013,33595
Buenos Aires,6,35-39,2014,35132
Buenos Aires,6,35-39,2015,36411
Buenos Aires,6,35-39,2016,35588
Buenos Aires,6,35-39,2017,35202
Buenos Aires,6,35-39,2018,34552
Buenos Aires,6,35-39,2019,32058
Buenos Aires,6,35-39,2020,29900
Buenos Aires,6,35-39,2021,28139
