provincia_id,provincia_nombre,sexo,edad_quinquenal,pais_nacimiento,nacionalidad,cantidad
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,ARGENTINA,ARGENTINA,51109
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,OTRO PAIS,ARGENTINA,356
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,OTRO PAIS,EXTRANJERA,657
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,ARGENTINA,ARGENTINA,86999
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,OTRO PAIS,ARGENTINA,713
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,OTRO PAIS,EXTRANJERA,6183
2,Ciudad Autonoma de Buenos Aires,F,100 y +,ARGENTINA,ARGENTINA,729
2,Ciudad Autonoma de Buenos Aires,F,100 y +,OTRO PAIS,ARGENTINA,42
2,Ciudad Autonoma de Buenos Aires,F,100 y +,OTRO PAIS,EXTRANJERA,146
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,ARGENTINA,ARGENTINA,83255
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,OTRO PAIS,ARGENTINA,928
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,OTRO PAIS,EXTRANJERA,9333
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,ARGENTINA,ARGENTINA,82819
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,OTRO PAIS,ARGENTINA,1040
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,OTRO PAIS,EXTRANJERA,21340
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,ARGENTINA,ARGENTINA,84855
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,OTRO PAIS,ARGENTINA,1095
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,OTRO PAIS,EXTRANJERA,28423
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,ARGENTINA,ARGENTINA,87684
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,OTRO PAIS,ARGENTINA,2048
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,OTRO PAIS,EXTRANJERA,37189
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,ARGENTINA,ARGENTINA,95736
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,OTRO PAIS,ARGENTINA,2399
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,OTRO PAIS,EXTRANJERA,36342
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,ARGENTINA,ARGENTINA,97196
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,OTRO PAIS,ARGENTINA,2129
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,OTRO PAIS,EXTRANJERA,29785
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,ARGENTINA,ARGENTINA,104069
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,OTRO PAIS,ARGENTINA,1856
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,OTRO PAIS,EXTRANJERA,23617
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,ARGENTINA,ARGENTINA,76295
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,OTRO PAIS,ARGENTINA,508
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,OTRO PAIS,EXTRANJERA,3172
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,ARGENTINA,ARGENTINA,94299
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,OTRO PAIS,ARGENTINA,1635
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,OTRO PAIS,EXTRANJERA,21381
